,Nombre,Genero,Artistas,Album,Popularidad,Duracion,Explicito
0,Acoustic,acoustic,Billy Raffoul,1975,58.0,172199.0,Falso
1,Acoustic,acoustic,Billy Raffoul,A Few More Hours at YYZ,57.0,172202.0,Falso
2,Here Comes the Sun - Acoustic,acoustic,"Molly Hocking, Bailey Rushlow",Here Comes the Sun (Acoustic),42.0,144786.0,Falso
3,Acoustic #3,acoustic,The Goo Goo Dolls,Dizzy up the Girl,46.0,116573.0,Falso
4,My Love Mine All Mine - Acoustic Instrumental,acoustic,"Guus Dielissen, Casper Esmann",My Love Mine All Mine (Acoustic Instrumental),33.0,133922.0,Falso
5,Acoustic,acoustic,Ling tosite sigure,#4,14.0,238146.0,Falso
6,Beautiful Things - Acoustic,acoustic,Benson Boone,Daydream,0.0,201248.0,Falso
7,Landslide,acoustic,"Guus Dielissen, Andrew Gialanella",Landslide,29.0,199222.0,Falso
8,Acoustic,acoustic,Sonido de Agua en Bambu,Agua,15.0,129250.0,Falso
9,Acoustic Energy Vibrations,acoustic,"Healing Solfeggio Frequencies, Harmony Touch",528: Mind & Body Healing,45.0,118331.0,Falso
10,Little Lies,acoustic,Roses & Frey,Little Lies,39.0,197851.0,Falso
11,Acoustic,acoustic,sin_artista,Plasma,8.0,356870.0,Falso
12,Too Good At Goodbyes - Acoustic,acoustic,Sam Smith,Hear The Pride,0.0,220095.0,Falso
13,The One (Acoustic Cover),acoustic,The Moon Loungers,The One (Acoustic Cover),25.0,241115.0,Falso
14,Acoustic,acoustic,"Lesfm, Olexy",Acoustic,5.0,156654.0,Falso
15,Love Is Gone - Acoustic,acoustic,"SLANDER, Dylan Matthew",Love Is Gone (Acoustic),71.0,176971.0,Falso
16,What If - Acoustic Sessions,acoustic,Cody Fry,Acoustic Sessions - Live From Nashville,25.0,245933.0,Falso
17,Acoustic,acoustic,Mortal Treason,A Call To The Martyrs,3.0,213693.0,Falso
18,Cayendo (Side A - Acoustic),acoustic,Frank Ocean,Cayendo (Side A - Acoustic),63.0,202200.0,Falso
19,One (Acoustic Cover),acoustic,Girl in the Distance,One (Acoustic Cover),27.0,237742.0,Falso
20,Acoustic,acoustic,Billy Raffoul,Feel good vibes 2020,16.0,172199.0,Falso
21,The Sound of Silence - Acoustic Version,acoustic,Simon & Garfunkel,"Wednesday Morning, 3 A.M.",71.0,185413.0,Falso
22,She Will Be Loved - Acoustic,acoustic,Jonah Baker,She Will Be Loved (Acoustic),31.0,226698.0,Falso
23,Acoustic,acoustic,Puppe Music,Tranquil Moods,10.0,62928.0,Falso
24,Where's My Love - Acoustic,acoustic,SYML,Where's My Love,68.0,239880.0,sin_valor
25,Waiting for the Storm,acoustic,Acoustic Levitation,Something,13.0,199000.0,Falso
26,Acoustic,acoustic,Trainman,Lofi beats for Nyx mains to cry to,1.0,165564.0,Falso
27,QUIET - Acoustic,acoustic,"Hillside Recording, Diana Trout",QUIET,61.0,191666.0,Falso
28,Good Vibes,acoustic,"Acoustics, Tyler Swatie",Good Vibes,13.0,192000.0,Falso
29,Acoustic,acoustic,Kondor,Peace of Mind,1.0,168575.0,sin_valor
30,Whatcha Say - Acoustic,acoustic,Jason Derulo,Heartbreaking Pop,0.0,222520.0,Falso
31,"Stillness, Pt 1: Moonshine",acoustic,Acoustic Quarter,Summer Rain,24.0,147333.0,Falso
32,Acoustic,acoustic,sin_artista,Magical Love,1.0,267311.0,Falso
33,Inertia - Acoustic,acoustic,AJR,Inertia (Acoustic),58.0,230990.0,Verdadero
34,Waiting for the Dawn,acoustic,Acoustic Levitation,Mysteriousness,17.0,221333.0,Falso
35,Acoustic,acoustic,Billy Raffoul,Dinner With Friends,3.0,172199.0,Falso
36,Acoustic Levitation,acoustic,Devin The Dude,Acoustic Levitation,29.0,355961.0,sin_valor
37,We Built This City - Acoustic,acoustic,Ben Weighill,We Built This City (Acoustic),25.0,161777.0,Falso
38,Acoustic,acoustic,David AI,Just Kidding,0.0,234700.0,Falso
39,Snooze (Acoustic) (feat. Justin Bieber),acoustic,"SZA, Justin Bieber",Snooze (Acoustic) (feat. Justin Bieber),65.0,190464.0,Verdadero
40,All the Small Things - Acoustic,acoustic,Jay Filson,All the Small Things (Acoustic),18.0,166917.0,Falso
41,Acoustic,acoustic,U Know & The Drill,Acoustic,2.0,109354.0,Falso
42,Dear April (Side A - Acoustic),acoustic,Frank Ocean,Dear April (Side A - Acoustic),57.0,231040.0,sin_valor
43,The Way You Make Me Feel - Acoustic,acoustic,"Matt Johnson, John Adams",The Way You Make Me Feel (Acoustic),30.0,157037.0,Falso
44,Acoustic,acoustic,XtraVert,Acoustic,0.0,153012.0,Verdadero
45,Never Comin' Home - Live Acoustic,acoustic,Bailey Zimmerman,swipe left,0.0,198958.0,Falso
46,Remember - Acoustic,acoustic,Thomas Daniel,Remember (Acoustic),25.0,171710.0,Falso
47,Acoustic,acoustic,Mark S.D.Ray,"Neo Soul Guitar: Pop Music Soul Guitar, Instrumental Guitar Solo",0.0,188750.0,Falso
48,Young Blood - Acoustic,acoustic,Noah Kahan,Young Blood (Acoustic),56.0,200613.0,Falso
49,Bubbly,acoustic,Acoustic Guitar Collective,Bubbly,14.0,159389.0,Falso
50,Afrobeat 2023 Mixtape,afrobeat,Dj funkybee,Afrobeat 2023 Mixtape,28.0,3601658.0,Verdadero
51,Afrobeat Heatwave,afrobeat,"Lofi Afrobeats, Dj Discoteca, AfrooBeatZ, Dj AfroBeats, Afro Beat Music",Exotic Afro Discoteca - Jungle Boogie Fiesta,2.0,264626.0,Falso
52,UNAVAILABLE (feat. Musa Keys),afrobeat,"Davido, Musa Keys",Timeless,68.0,169911.0,Verdadero
53,Afrobeat,afrobeat,Gbenga,Let's Give Thanks,21.0,322856.0,Falso
54,AfroBeat Chaka Chaka,afrobeat,Giuliano Nicolis,AfroBeat Chaka Chaka,30.0,180652.0,Falso
55,Lonely At The Top,afrobeat,Asake,Work Of Art,69.0,157714.0,Falso
56,Afrobeat,afrobeat,FASSounds,Summer Tunes vol. 1,8.0,110400.0,Falso
57,Afrobeat Ki Masti,afrobeat,Karl Lion,Afrobeat Ki Masti,25.0,205090.0,Falso
58,Soweto,afrobeat,"Victony, Tempoe",Outlaw,69.0,148000.0,Verdadero
59,Afrobeat,afrobeat,Jujuba,Jujuba,3.0,453493.0,Falso
60,Afrobeats Mix Flight OSO 149,afrobeat,Osocity,Afrobeats Mix Flight OSO 149,26.0,2372414.0,Verdadero
61,Holy Ghost,afrobeat,Omah Lay,Holy Ghost,68.0,186153.0,Falso
62,Afrobeat,afrobeat,Entspannungsmusik Meer,"Einfach entspannen, Vol. 2",4.0,176519.0,Falso
